method,sample,seq_len,position,region,tail_band,tail_protected,source_id,token_id,token,context_before,dense_nll,nll,delta_nll,kl,same_top1,rope
flashprefill_tail1,2,65536,58955,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,96127, DAR, DOD as a condition of receiving support under the agreement. Such funds were to be merged into an account dedicated to supporting,0.3587922751903534,4.60376501083374,4.2449727058410645,2.920301914215088,0,yarn4
flashprefill_tail1,3,16384,16266,tail,last_block,1,ba50360a6669fb0e2fbd41a020483b9bab271b5ce69b5c87,37576, FCC, allow users to access data at the same level of granularity as the maps of fixed broadband (see fig. 4).,1.9874869585037231,6.193331241607666,4.205844402313232,0.8627250790596008,1,yarn4
flashprefill_tail0,0,131072,13079,early,earlier,0,490f14d293ac1c261a07bd50aeac2e86a9e76c726d7883a2,21,6, plans to meet some of the targets; and 4 reported that they did not plan to meet any targets. Figure ,0.0819403305649757,4.1942315101623535,4.11229133605957,3.666762113571167,0,yarn4
flashprefill_tail1,0,131072,13079,early,earlier,0,490f14d293ac1c261a07bd50aeac2e86a9e76c726d7883a2,21,6, plans to meet some of the targets; and 4 reported that they did not plan to meet any targets. Figure ,0.0819403305649757,4.1942315101623535,4.11229133605957,3.666762113571167,0,yarn4
flashprefill_tail2,0,131072,13079,early,earlier,0,490f14d293ac1c261a07bd50aeac2e86a9e76c726d7883a2,21,6, plans to meet some of the targets; and 4 reported that they did not plan to meet any targets. Figure ,0.0819403305649757,4.1942315101623535,4.11229133605957,3.666762113571167,0,yarn4
flashprefill_tail1,2,65536,58944,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,10514, funds, a clause requiring a person or entity to make payments to DOD as a condition of receiving support under the agreement. Such,0.2543855309486389,4.166110515594482,3.911725044250488,2.798137187957764,0,yarn4
flashprefill_tail2,2,65536,58944,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,10514, funds, a clause requiring a person or entity to make payments to DOD as a condition of receiving support under the agreement. Such,0.2543855309486389,4.166110515594482,3.911725044250488,2.798137187957764,0,yarn4
flashprefill_tail0,2,65536,58944,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,10514, funds, a clause requiring a person or entity to make payments to DOD as a condition of receiving support under the agreement. Such,0.2543855309486389,4.166110515594482,3.911725044250488,2.798137187957764,0,yarn4
flashprefill_tail1,3,65536,65270,tail,earlier,0,27d885cb5ea10bfe6a9123867b285a9850aa8415d960493b,3347, low," room and board (9 states or 19 percent of the 48 states), which Medicaid typically does not cover",12.717901229858398,16.506967544555664,3.7890663146972656,0.0576056465506553,1,yarn4
flashprefill_tail0,3,65536,65270,tail,earlier,0,27d885cb5ea10bfe6a9123867b285a9850aa8415d960493b,3347, low," room and board (9 states or 19 percent of the 48 states), which Medicaid typically does not cover",12.717901229858398,16.506967544555664,3.7890663146972656,0.0576056465506553,1,yarn4
flashprefill_tail2,3,65536,65270,tail,earlier,0,27d885cb5ea10bfe6a9123867b285a9850aa8415d960493b,3347, low," room and board (9 states or 19 percent of the 48 states), which Medicaid typically does not cover",12.717901229858398,16.506967544555664,3.7890663146972656,0.0576056465506553,1,yarn4
flashprefill_tail1,0,32768,32601,tail,penultimate_block,0,505345771a2e5b438ea4bfa7c0f238f8787f45b0ca52ef7d,14057,inv," the consequences might be. On May 23, 2018, DOD announced that it was dis",2.728080987930298,6.423185348510742,3.695104360580444,0.3214172422885895,1,native
flashprefill_tail0,0,32768,32601,tail,penultimate_block,0,505345771a2e5b438ea4bfa7c0f238f8787f45b0ca52ef7d,14057,inv," the consequences might be. On May 23, 2018, DOD announced that it was dis",2.728080987930298,6.423185348510742,3.695104360580444,0.3214172422885895,1,native
flashprefill_tail2,3,16384,16203,tail,penultimate_block,1,ba50360a6669fb0e2fbd41a020483b9bab271b5ce69b5c87,39389, tribal,/#/). This map allows users to search for broadband deployment by address and provides summary-level statistics regarding broadband deployment in specific,4.497006416320801,8.182794570922852,3.685788154602051,0.0463419370353221,1,yarn4
flashprefill_tail2,3,16384,16266,tail,last_block,1,ba50360a6669fb0e2fbd41a020483b9bab271b5ce69b5c87,37576, FCC, allow users to access data at the same level of granularity as the maps of fixed broadband (see fig. 4).,1.9874869585037231,5.62938404083252,3.641897201538086,0.6130489706993103,0,yarn4
flashprefill_tail2,3,65536,65092,tail,earlier,0,27d885cb5ea10bfe6a9123867b285a9850aa8415d960493b,10191, coverage,. GAO staff that made key contributions to this report are listed in appendix VI. Our survey of state Medicaid agencies regarding,4.700620651245117,8.323724746704102,3.623104095458984,0.4130998849868774,0,yarn4
flashprefill_tail1,3,65536,65092,tail,earlier,0,27d885cb5ea10bfe6a9123867b285a9850aa8415d960493b,10191, coverage,. GAO staff that made key contributions to this report are listed in appendix VI. Our survey of state Medicaid agencies regarding,4.700620651245117,8.323724746704102,3.623104095458984,0.4130998849868774,0,yarn4
flashprefill_tail0,3,65536,65092,tail,earlier,0,27d885cb5ea10bfe6a9123867b285a9850aa8415d960493b,10191, coverage,. GAO staff that made key contributions to this report are listed in appendix VI. Our survey of state Medicaid agencies regarding,4.700620651245117,8.323724746704102,3.623104095458984,0.4130998849868774,0,yarn4
flashprefill_tail1,2,65536,58948,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,26001, merged, person or entity to make payments to DOD as a condition of receiving support under the agreement. Such funds were to be,0.131270095705986,3.715613842010498,3.584343671798706,3.058670282363892,0,yarn4
flashprefill_tail0,2,65536,58948,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,26001, merged, person or entity to make payments to DOD as a condition of receiving support under the agreement. Such funds were to be,0.131270095705986,3.715613842010498,3.584343671798706,3.058670282363892,0,yarn4
flashprefill_tail2,2,65536,58948,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,26001, merged, person or entity to make payments to DOD as a condition of receiving support under the agreement. Such funds were to be,0.131270095705986,3.715613842010498,3.584343671798706,3.058670282363892,0,yarn4
flashprefill_tail0,1,16384,14773,late,earlier,0,a6d311b6722cdf0fd1e95f07371162c59183a53db1fc5f62,18564, recommendations, efforts to fulfill their requirements described in the act. determined the effectiveness of corrective actions taken by DHS to address nine previously reported,0.8488526344299316,4.013980865478516,3.165128231048584,1.9283536672592163,0,yarn4
flashprefill_tail2,1,16384,14773,late,earlier,0,a6d311b6722cdf0fd1e95f07371162c59183a53db1fc5f62,18564, recommendations, efforts to fulfill their requirements described in the act. determined the effectiveness of corrective actions taken by DHS to address nine previously reported,0.8488526344299316,4.013980865478516,3.165128231048584,1.9283536672592163,0,yarn4
flashprefill_tail1,1,16384,14773,late,earlier,0,a6d311b6722cdf0fd1e95f07371162c59183a53db1fc5f62,18564, recommendations, efforts to fulfill their requirements described in the act. determined the effectiveness of corrective actions taken by DHS to address nine previously reported,0.8488526344299316,4.013980865478516,3.165128231048584,1.9283536672592163,0,yarn4
flashprefill_tail1,0,32768,16404,middle,earlier,0,505345771a2e5b438ea4bfa7c0f238f8787f45b0ca52ef7d,547, U, could complicate the ability of the United States to intervene militarily in a crisis or conflict between China and Taiwan; fulfill,1.5475199222564695,4.5684099197387695,3.0208899974823,2.5531108379364014,0,yarn4
flashprefill_tail2,0,32768,16404,middle,earlier,0,505345771a2e5b438ea4bfa7c0f238f8787f45b0ca52ef7d,547, U, could complicate the ability of the United States to intervene militarily in a crisis or conflict between China and Taiwan; fulfill,1.5475199222564695,4.5684099197387695,3.0208899974823,2.5531108379364014,0,yarn4
flashprefill_tail0,0,32768,16404,middle,earlier,0,505345771a2e5b438ea4bfa7c0f238f8787f45b0ca52ef7d,547, U, could complicate the ability of the United States to intervene militarily in a crisis or conflict between China and Taiwan; fulfill,1.5475199222564695,4.5684099197387695,3.0208899974823,2.5531108379364014,0,yarn4
flashprefill_tail2,2,65536,58952,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,12235, dedicated, make payments to DOD as a condition of receiving support under the agreement. Such funds were to be merged into an account,0.0378046371042728,3.010486125946045,2.9726815223693848,2.7577311992645264,0,yarn4
flashprefill_tail1,2,65536,58952,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,12235, dedicated, make payments to DOD as a condition of receiving support under the agreement. Such funds were to be merged into an account,0.0378046371042728,3.010486125946045,2.9726815223693848,2.7577311992645264,0,yarn4
flashprefill_tail0,2,65536,58952,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,12235, dedicated, make payments to DOD as a condition of receiving support under the agreement. Such funds were to be merged into an account,0.0378046371042728,3.010486125946045,2.9726815223693848,2.7577311992645264,0,yarn4
flashprefill_tail1,2,65536,58950,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,458, an, entity to make payments to DOD as a condition of receiving support under the agreement. Such funds were to be merged into,0.0888948440551757,3.032676696777344,2.943781852722168,2.5731492042541504,0,yarn4
flashprefill_tail0,2,65536,58950,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,458, an, entity to make payments to DOD as a condition of receiving support under the agreement. Such funds were to be merged into,0.0888948440551757,3.032676696777344,2.943781852722168,2.5731492042541504,0,yarn4
flashprefill_tail2,2,65536,58950,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,458, an, entity to make payments to DOD as a condition of receiving support under the agreement. Such funds were to be merged into,0.0888948440551757,3.032676696777344,2.943781852722168,2.5731492042541504,0,yarn4
flashprefill_tail2,3,65536,65427,tail,last_block,1,27d885cb5ea10bfe6a9123867b285a9850aa8415d960493b,3645, contact, financial assistance to the beneficiaries to defray the room and board costs. (See table 9.) In addition to the,1.158377170562744,4.097422122955322,2.939044952392578,0.8381295800209045,0,yarn4
flashprefill_tail1,3,131072,131024,tail,last_block,1,ad1e97265c4148aa84685bcfffe30b9009fb9f1788a0b7ff,12877,urchase, Interior’s lease- versus-purchase analysis tool; and one did not include any documentation related to a lease-versus-p,0.0434743799269199,2.944288730621338,2.9008142948150635,2.807490587234497,0,yarn4
flashprefill_tail1,2,65536,58957,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,10847, advanced, as a condition of receiving support under the agreement. Such funds were to be merged into an account dedicated to supporting DARPA,0.4005521237850189,3.2909750938415527,2.890423059463501,1.8097485303878784,0,yarn4
flashprefill_tail0,2,65536,58957,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,10847, advanced, as a condition of receiving support under the agreement. Such funds were to be merged into an account dedicated to supporting DARPA,0.4005521237850189,3.2909750938415527,2.890423059463501,1.8097485303878784,0,yarn4
flashprefill_tail2,2,65536,58957,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,10847, advanced, as a condition of receiving support under the agreement. Such funds were to be merged into an account dedicated to supporting DARPA,0.4005521237850189,3.2909750938415527,2.890423059463501,1.8097485303878784,0,yarn4
flashprefill_tail0,2,65536,58928,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,1281, make,1991 NDAA permitted OTs (or cooperative agreements) to include a clause requiring a person or entity to,0.0614910796284675,2.940722942352295,2.8792319297790527,2.608485221862793,0,yarn4
flashprefill_tail1,2,65536,58928,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,1281, make,1991 NDAA permitted OTs (or cooperative agreements) to include a clause requiring a person or entity to,0.0614910796284675,2.940722942352295,2.8792319297790527,2.608485221862793,0,yarn4
flashprefill_tail2,2,65536,58928,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,1281, make,1991 NDAA permitted OTs (or cooperative agreements) to include a clause requiring a person or entity to,0.0614910796284675,2.940722942352295,2.8792319297790527,2.608485221862793,0,yarn4
flashprefill_tail2,3,65536,65099,tail,earlier,0,27d885cb5ea10bfe6a9123867b285a9850aa8415d960493b,37089, oversight," contributions to this report are listed in appendix VI. Our survey of state Medicaid agencies regarding coverage, spending, enrollment, and",2.0594849586486816,4.887934684753418,2.8284497261047363,1.536736011505127,0,yarn4
flashprefill_tail1,3,65536,65099,tail,earlier,0,27d885cb5ea10bfe6a9123867b285a9850aa8415d960493b,37089, oversight," contributions to this report are listed in appendix VI. Our survey of state Medicaid agencies regarding coverage, spending, enrollment, and",2.0594849586486816,4.887934684753418,2.8284497261047363,1.536736011505127,0,yarn4
flashprefill_tail0,3,65536,65099,tail,earlier,0,27d885cb5ea10bfe6a9123867b285a9850aa8415d960493b,37089, oversight," contributions to this report are listed in appendix VI. Our survey of state Medicaid agencies regarding coverage, spending, enrollment, and",2.0594849586486816,4.887934684753418,2.8284497261047363,1.536736011505127,0,yarn4
flashprefill_tail0,2,8192,7781,tail,earlier,0,679f8b9b9a028f34abb79be22c978d1d4b377ce6ca1f12f9,17,2," $647 billion, and nondefense funding (including SFOPS) by $68 billion, from $5",2.5932421684265137,5.40389347076416,2.8106513023376465,2.9066386222839355,1,yarn4
flashprefill_tail2,2,8192,7781,tail,earlier,0,679f8b9b9a028f34abb79be22c978d1d4b377ce6ca1f12f9,17,2," $647 billion, and nondefense funding (including SFOPS) by $68 billion, from $5",2.5932421684265137,5.40389347076416,2.8106513023376465,2.9066386222839355,1,yarn4
flashprefill_tail1,2,8192,7781,tail,earlier,0,679f8b9b9a028f34abb79be22c978d1d4b377ce6ca1f12f9,17,2," $647 billion, and nondefense funding (including SFOPS) by $68 billion, from $5",2.5932421684265137,5.40389347076416,2.8106513023376465,2.9066386222839355,1,yarn4
flashprefill_tail0,2,16384,1651,early,earlier,0,a12d1df7a84ab7478fc861b8b0221e9b0dd8d0e6a96d18fc,20257,contract," to addressing fraud, waste, and abuse to its stakeholders. Representatives of CMS’s extensive stakeholder network whom we interviewed—",4.155842781066895,6.93795108795166,2.7821083068847656,0.0797660946846008,1,yarn4
flashprefill_tail1,2,16384,1651,early,earlier,0,a12d1df7a84ab7478fc861b8b0221e9b0dd8d0e6a96d18fc,20257,contract," to addressing fraud, waste, and abuse to its stakeholders. Representatives of CMS’s extensive stakeholder network whom we interviewed—",4.155842781066895,6.93795108795166,2.7821083068847656,0.0797660946846008,1,yarn4
flashprefill_tail2,2,16384,1651,early,earlier,0,a12d1df7a84ab7478fc861b8b0221e9b0dd8d0e6a96d18fc,20257,contract," to addressing fraud, waste, and abuse to its stakeholders. Representatives of CMS’s extensive stakeholder network whom we interviewed—",4.155842781066895,6.93795108795166,2.7821083068847656,0.0797660946846008,1,yarn4
flashprefill_tail0,0,32768,32594,tail,penultimate_block,0,505345771a2e5b438ea4bfa7c0f238f8787f45b0ca52ef7d,422, D," consequences."" Sanders did not say what the consequences might be. On May 23, 2018,",4.006970405578613,6.788471221923828,2.781500816345215,0.329220175743103,1,yarn4
flashprefill_tail1,0,32768,32594,tail,penultimate_block,0,505345771a2e5b438ea4bfa7c0f238f8787f45b0ca52ef7d,422, D," consequences."" Sanders did not say what the consequences might be. On May 23, 2018,",4.006970405578613,6.788471221923828,2.781500816345215,0.329220175743103,1,yarn4
flashprefill_tail1,3,65536,65427,tail,last_block,1,27d885cb5ea10bfe6a9123867b285a9850aa8415d960493b,3645, contact, financial assistance to the beneficiaries to defray the room and board costs. (See table 9.) In addition to the,1.158377170562744,3.932175397872925,2.7737982273101807,0.806002676486969,0,yarn4
flashprefill_tail0,1,131072,13117,early,earlier,0,a6d311b6722cdf0fd1e95f07371162c59183a53db1fc5f62,6122, September," subsequent email on December 10, 2018, OMB said it believes the Federal CIO’s",1.5417282581329346,4.277428150177002,2.7356998920440674,0.8007287979125977,1,yarn4
flashprefill_tail2,1,131072,13117,early,earlier,0,a6d311b6722cdf0fd1e95f07371162c59183a53db1fc5f62,6122, September," subsequent email on December 10, 2018, OMB said it believes the Federal CIO’s",1.5417282581329346,4.277428150177002,2.7356998920440674,0.8007287979125977,1,yarn4
flashprefill_tail1,1,131072,13117,early,earlier,0,a6d311b6722cdf0fd1e95f07371162c59183a53db1fc5f62,6122, September," subsequent email on December 10, 2018, OMB said it believes the Federal CIO’s",1.5417282581329346,4.277428150177002,2.7356998920440674,0.8007287979125977,1,yarn4
flashprefill_tail2,0,8192,7420,late,earlier,0,490f14d293ac1c261a07bd50aeac2e86a9e76c726d7883a2,582, we," billion for IT in fiscal year 2018—the largest amount ever budgeted. Despite such large IT expenditures,",4.7587409019470215,7.488125324249268,2.729384422302246,0.1280641853809356,1,yarn4
flashprefill_tail0,0,8192,7420,late,earlier,0,490f14d293ac1c261a07bd50aeac2e86a9e76c726d7883a2,582, we," billion for IT in fiscal year 2018—the largest amount ever budgeted. Despite such large IT expenditures,",4.7587409019470215,7.488125324249268,2.729384422302246,0.1280641853809356,1,yarn4
flashprefill_tail1,0,8192,7420,late,earlier,0,490f14d293ac1c261a07bd50aeac2e86a9e76c726d7883a2,582, we," billion for IT in fiscal year 2018—the largest amount ever budgeted. Despite such large IT expenditures,",4.7587409019470215,7.488125324249268,2.729384422302246,0.1280641853809356,1,yarn4
flashprefill_tail1,2,65536,58921,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,21647, clause, FY1990 & FY1991 NDAA permitted OTs (or cooperative agreements) to include a,0.5067134499549866,3.2346179485321045,2.7279045581817627,1.4669570922851562,0,yarn4
flashprefill_tail0,2,65536,58921,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,21647, clause, FY1990 & FY1991 NDAA permitted OTs (or cooperative agreements) to include a,0.5067134499549866,3.2346179485321045,2.7279045581817627,1.4669570922851562,0,yarn4
flashprefill_tail2,2,65536,58921,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,21647, clause, FY1990 & FY1991 NDAA permitted OTs (or cooperative agreements) to include a,0.5067134499549866,3.2346179485321045,2.7279045581817627,1.4669570922851562,0,yarn4
flashprefill_tail0,3,65536,65493,tail,last_block,0,642cbca15cea50e376cef6d3e81f3dc4e046cc649f6119f4,821, data," Porter, and Jennifer Whitworth made key contributions to this report.

[Report 7]

R ecent high-profile",4.625997066497803,7.284507751464844,2.658510684967041,0.5686578154563904,0,yarn4
flashprefill_tail0,0,32768,32594,tail,penultimate_block,0,505345771a2e5b438ea4bfa7c0f238f8787f45b0ca52ef7d,422, D," consequences."" Sanders did not say what the consequences might be. On May 23, 2018,",5.118292331695557,7.766708374023437,2.648416042327881,0.1744658797979354,1,native
flashprefill_tail1,0,32768,32594,tail,penultimate_block,0,505345771a2e5b438ea4bfa7c0f238f8787f45b0ca52ef7d,422, D," consequences."" Sanders did not say what the consequences might be. On May 23, 2018,",5.118292331695557,7.766708374023437,2.648416042327881,0.1744658797979354,1,native
flashprefill_tail2,2,65536,58929,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,14173, payments,991 NDAA permitted OTs (or cooperative agreements) to include a clause requiring a person or entity to make,0.3419509530067444,2.964566946029663,2.6226160526275635,1.626931071281433,0,yarn4
flashprefill_tail0,2,65536,58929,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,14173, payments,991 NDAA permitted OTs (or cooperative agreements) to include a clause requiring a person or entity to make,0.3419509530067444,2.964566946029663,2.6226160526275635,1.626931071281433,0,yarn4
flashprefill_tail1,2,65536,58929,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,14173, payments,991 NDAA permitted OTs (or cooperative agreements) to include a clause requiring a person or entity to make,0.3419509530067444,2.964566946029663,2.6226160526275635,1.626931071281433,0,yarn4
flashprefill_tail1,3,16384,15870,tail,earlier,0,ba50360a6669fb0e2fbd41a020483b9bab271b5ce69b5c87,37576, FCC,", created a memorandum of understanding with FCC through which FCC agreed to maintain public access to the last version of the map.",2.732854127883911,5.3540215492248535,2.6211674213409424,0.1867066174745559,1,yarn4
flashprefill_tail2,3,16384,15870,tail,earlier,0,ba50360a6669fb0e2fbd41a020483b9bab271b5ce69b5c87,37576, FCC,", created a memorandum of understanding with FCC through which FCC agreed to maintain public access to the last version of the map.",2.732854127883911,5.3540215492248535,2.6211674213409424,0.1867066174745559,1,yarn4
flashprefill_tail0,3,16384,15870,tail,earlier,0,ba50360a6669fb0e2fbd41a020483b9bab271b5ce69b5c87,37576, FCC,", created a memorandum of understanding with FCC through which FCC agreed to maintain public access to the last version of the map.",2.732854127883911,5.3540215492248535,2.6211674213409424,0.1867066174745559,1,yarn4
flashprefill_tail0,2,65536,65444,tail,last_block,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,64714, Appendix,b-3] and the Cures Acceleration Network [42 U.S.C. §287a]).,3.3048174381256104,5.919146537780762,2.614329099655152,0.2023948282003402,1,yarn4
flashprefill_tail0,3,32768,32284,tail,earlier,0,38a5830e9f6eb481ec9b4eb23eb5204a6f3d51831fdb2845,468, E," store ownership. That same year, FNS also consolidated its retailer management functions, including those for authorizing stores and analyzing",1.42144775390625,4.0317206382751465,2.6102728843688965,0.5358057022094727,0,yarn4
flashprefill_tail2,3,32768,32284,tail,earlier,0,38a5830e9f6eb481ec9b4eb23eb5204a6f3d51831fdb2845,468, E," store ownership. That same year, FNS also consolidated its retailer management functions, including those for authorizing stores and analyzing",1.42144775390625,4.0317206382751465,2.6102728843688965,0.5358057022094727,0,yarn4
flashprefill_tail1,3,32768,32284,tail,earlier,0,38a5830e9f6eb481ec9b4eb23eb5204a6f3d51831fdb2845,468, E," store ownership. That same year, FNS also consolidated its retailer management functions, including those for authorizing stores and analyzing",1.42144775390625,4.0317206382751465,2.6102728843688965,0.5358057022094727,0,yarn4
flashprefill_tail0,2,131072,130998,tail,last_block,0,f8a0313fccf5acb9eed57e3363eecb4d2b0b7f72639a82f4,17,2,03 of IEEPA (Grants of Authorities; 50 U.S.C. § 170,0.0205447040498256,2.5909066200256348,2.570361852645874,2.4801952838897705,0,yarn4
flashprefill_tail2,3,131072,65493,middle,earlier,0,642cbca15cea50e376cef6d3e81f3dc4e046cc649f6119f4,821, data," Porter, and Jennifer Whitworth made key contributions to this report.

[Report 7]

R ecent high-profile",4.625997066497803,7.177160739898682,2.551163673400879,0.6102743744850159,0,yarn4
flashprefill_tail1,3,131072,65493,middle,earlier,0,642cbca15cea50e376cef6d3e81f3dc4e046cc649f6119f4,821, data," Porter, and Jennifer Whitworth made key contributions to this report.

[Report 7]

R ecent high-profile",4.625997066497803,7.177160739898682,2.551163673400879,0.6102743744850159,0,yarn4
flashprefill_tail0,3,131072,65493,middle,earlier,0,642cbca15cea50e376cef6d3e81f3dc4e046cc649f6119f4,821, data," Porter, and Jennifer Whitworth made key contributions to this report.

[Report 7]

R ecent high-profile",4.625997066497803,7.177160739898682,2.551163673400879,0.6102743744850159,0,yarn4
flashprefill_tail2,0,131072,117918,late,earlier,0,a6d311b6722cdf0fd1e95f07371162c59183a53db1fc5f62,6058, January," not submit the plan to Congress, as called for in the act. Even though DHS submitted the plan to OMB in",0.0325120724737644,2.582972764968872,2.5504605770111084,2.380704402923584,0,yarn4
flashprefill_tail0,0,131072,117918,late,earlier,0,a6d311b6722cdf0fd1e95f07371162c59183a53db1fc5f62,6058, January," not submit the plan to Congress, as called for in the act. Even though DHS submitted the plan to OMB in",0.0325120724737644,2.582972764968872,2.5504605770111084,2.380704402923584,0,yarn4
flashprefill_tail1,0,131072,117918,late,earlier,0,a6d311b6722cdf0fd1e95f07371162c59183a53db1fc5f62,6058, January," not submit the plan to Congress, as called for in the act. Even though DHS submitted the plan to OMB in",0.0325120724737644,2.582972764968872,2.5504605770111084,2.380704402923584,0,yarn4
flashprefill_tail0,2,4096,4081,tail,last_block,0,a12d1df7a84ab7478fc861b8b0221e9b0dd8d0e6a96d18fc,821, data," understanding of known and potential fraud risks for the purposes of a fraud risk assessment. For example, the fraud vulnerabilities identified through",1.297260880470276,3.775137424468994,2.477876663208008,0.6024256944656372,1,yarn4
flashprefill_tail0,3,65536,65418,tail,last_block,0,27d885cb5ea10bfe6a9123867b285a9850aa8415d960493b,9830,See,. The other commonly cited policies focused on providing financial assistance to the beneficiaries to defray the room and board costs. (,0.036881323903799,2.5111374855041504,2.4742562770843506,2.330214500427246,0,yarn4
